Region,fish_admin,name,Scientific name,year,share_admin,rec,ITQ,ILQ,IQ,SGQP,GQP,IRQP,RQP,RIQ,ITE,IE,TE,OA,Moratorium,idef,fixed_multiple,fixed_single,legal
Africa,Angola,Cape horse mackerel South Africa South coast,Trachurus capensis,1990,7,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Africa,Angola,Cape horse mackerel South Africa South coast,Trachurus capensis,1991,7,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Africa,Angola,Cape horse mackerel South Africa South coast,Trachurus capensis,1992,7,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Africa,Angola,Cape horse mackerel South Africa South coast,Trachurus capensis,1993,7,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Africa,Angola,Cape horse mackerel South Africa South coast,Trachurus capensis,1994,7,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Africa,Angola,Cape horse mackerel South Africa South coast,Trachurus capensis,1995,7,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Africa,Angola,Cape horse mackerel South Africa South coast,Trachurus capensis,1996,7,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Africa,Angola,Cape horse mackerel South Africa South coast,Trachurus capensis,1997,7,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Africa,Angola,Cape horse mackerel South Africa South coast,Trachurus capensis,1998,7,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Africa,Angola,Cape horse mackerel South Africa South coast,Trachurus capensis,1999,7,0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
