year,stocklong,bbmsy,ffmsy,region ,FisheryType
1980,Acadian redfish Gulf of Maine / Georges Bank,0.144735906,6.4211,US East Coast,Rockfish
1981,Acadian redfish Gulf of Maine / Georges Bank,0.121346652,6.0789,US East Coast,Rockfish
1982,Acadian redfish Gulf of Maine / Georges Bank,0.101721022,6.5263,US East Coast,Rockfish
1983,Acadian redfish Gulf of Maine / Georges Bank,0.085859017,6.0526,US East Coast,Rockfish
1984,Acadian redfish Gulf of Maine / Georges Bank,0.074102137,6.2368,US East Coast,Rockfish
1985,Acadian redfish Gulf of Maine / Georges Bank,0.064383591,6.6316,US East Coast,Rockfish
1986,Acadian redfish Gulf of Maine / Georges Bank,0.057887959,5.1316,US East Coast,Rockfish
1987,Acadian redfish Gulf of Maine / Georges Bank,0.055931444,3.2368,US East Coast,Rockfish
1988,Acadian redfish Gulf of Maine / Georges Bank,0.057646063,1.9737,US East Coast,Rockfish
1989,Acadian redfish Gulf of Maine / Georges Bank,0.062391502,1.0789,US East Coast,Rockfish
1990,Acadian redfish Gulf of Maine / Georges Bank,0.069420729,0.9211,US East Coast,Rockfish
1991,Acadian redfish Gulf of Maine / Georges Bank,0.06372549,15.8684,US East Coast,Rockfish
1992,Acadian redfish Gulf of Maine / Georges Bank,0.054736191,1.7895,US East Coast,Rockfish
1993,Acadian redfish Gulf of Maine / Georges Bank,0.062800592,1.7632,US East Coast,Rockfish
1994,Acadian redfish Gulf of Maine / Georges Bank,0.074215971,1.1842,US East Coast,Rockfish
1995,Acadian redfish Gulf of Maine / Georges Bank,0.091419079,0.7632,US East Coast,Rockfish
1996,Acadian redfish Gulf of Maine / Georges Bank,0.115882638,0.6579,US East Coast,Rockfish
1997,Acadian redfish Gulf of Maine / Georges Bank,0.148517317,0.3158,US East Coast,Rockfish
1998,Acadian redfish Gulf of Maine / Georges Bank,0.18904209,0.3421,US East Coast,Rockfish
1999,Acadian redfish Gulf of Maine / Georges Bank,0.235503998,0.1579,US East Coast,Rockfish
2000,Acadian redfish Gulf of Maine / Georges Bank,0.286448106,0.1579,US East Coast,Rockfish
2001,Acadian redfish Gulf of Maine / Georges Bank,0.339665329,0.2105,US East Coast,Rockfish
2002,Acadian redfish Gulf of Maine / Georges Bank,0.395148553,0.1053,US East Coast,Rockfish
2003,Acadian redfish Gulf of Maine / Georges Bank,0.454196192,0.1053,US East Coast,Rockfish
2004,Acadian redfish Gulf of Maine / Georges Bank,0.517238681,0.1053,US East Coast,Rockfish
2005,Acadian redfish Gulf of Maine / Georges Bank,0.584806056,0.1053,US East Coast,Rockfish
2006,Acadian redfish Gulf of Maine / Georges Bank,0.656773813,0.1053,US East Coast,Rockfish
2007,Acadian redfish Gulf of Maine / Georges Bank,0.732458949,0.1579,US East Coast,Rockfish
2008,Acadian redfish Gulf of Maine / Georges Bank,0.811601781,0.1579,US East Coast,Rockfish
2009,Acadian redfish Gulf of Maine / Georges Bank,0.896969891,0.1842,US East Coast,Rockfish
2010,Acadian redfish Gulf of Maine / Georges Bank,0.99205299,0.1842,US East Coast,Rockfish
2011,Acadian redfish Gulf of Maine / Georges Bank,1.099881898,0.2105,US East Coast,Rockfish
2012,Acadian redfish Gulf of Maine / Georges Bank,1.218613933,0.3158,US East Coast,Rockfish
2013,Acadian redfish Gulf of Maine / Georges Bank,1.344634879,0.2895,US East Coast,Rockfish
2014,Acadian redfish Gulf of Maine / Georges Bank,1.474657788,0.3158,US East Coast,Rockfish
2015,Acadian redfish Gulf of Maine / Georges Bank,1.474657788,0.3158,US East Coast,Rockfish
1980,american plaice nafo-5yz,2.899748226,2.2449,US East Coast,Flatfish
1981,american plaice nafo-5yz,2.205539025,1.9388,US East Coast,Flatfish
1982,american plaice nafo-5yz,1.916151675,3.5714,US East Coast,Flatfish
1983,american plaice nafo-5yz,1.61356527,3.5204,US East Coast,Flatfish
1984,american plaice nafo-5yz,1.42183566,2.6531,US East Coast,Flatfish
1985,american plaice nafo-5yz,0.862211032,4.4388,US East Coast,Flatfish
1986,american plaice nafo-5yz,0.626764324,3.3673,US East Coast,Flatfish
1987,american plaice nafo-5yz,0.643930724,2.602,US East Coast,Flatfish
1988,american plaice nafo-5yz,0.651026169,1.9388,US East Coast,Flatfish
1989,american plaice nafo-5yz,0.611123827,2.449,US East Coast,Flatfish
1990,american plaice nafo-5yz,0.62684062,1.9898,US East Coast,Flatfish
1991,american plaice nafo-5yz,0.833524071,1.8367,US East Coast,Flatfish
1992,american plaice nafo-5yz,0.894636454,2.3469,US East Coast,Flatfish
1993,american plaice nafo-5yz,0.781490806,3.1633,US East Coast,Flatfish
1994,american plaice nafo-5yz,0.757991913,4.2857,US East Coast,Flatfish
1995,american plaice nafo-5yz,0.63042649,4.6429,US East Coast,Flatfish
1996,american plaice nafo-5yz,0.653086137,3.1122,US East Coast,Flatfish
1997,american plaice nafo-5yz,0.769817655,2.602,US East Coast,Flatfish
1998,american plaice nafo-5yz,0.852216373,2.7041,US East Coast,Flatfish
1999,american plaice nafo-5yz,0.736705577,3.0612,US East Coast,Flatfish
