,stocklong,transboundary,year
1,South African abalone South Africa,0,1990
2,South African abalone South Africa,0,1991
3,South African abalone South Africa,0,1992
4,South African abalone South Africa,0,1993
5,South African abalone South Africa,0,1994
6,South African abalone South Africa,0,1995
7,South African abalone South Africa,0,1996
8,South African abalone South Africa,0,1997
9,South African abalone South Africa,0,1998
10,South African abalone South Africa,0,1999
11,South African abalone South Africa,0,2000
12,South African abalone South Africa,0,2001
13,South African abalone South Africa,0,2002
14,South African abalone South Africa,0,2003
15,South African abalone South Africa,0,2004
16,South African abalone South Africa,0,2005
17,South African abalone South Africa,0,2006
18,South African abalone South Africa,0,2007
19,South African abalone South Africa,0,2008
20,South African abalone South Africa,0,2009
21,South African abalone South Africa,0,2010
22,South African abalone South Africa,0,2011
23,South African abalone South Africa,0,2012
24,South African abalone South Africa,0,2013
25,South African abalone South Africa,0,2014
26,South African abalone South Africa,0,2015
27,South African abalone South Africa,0,2016
28,South African abalone South Africa,0,2017
29,South African abalone South Africa,0,2018
30,Acadian redfish Gulf of Maine / Georges Bank,0,1990
31,Acadian redfish Gulf of Maine / Georges Bank,0,1991
32,Acadian redfish Gulf of Maine / Georges Bank,0,1992
33,Acadian redfish Gulf of Maine / Georges Bank,0,1993
34,Acadian redfish Gulf of Maine / Georges Bank,0,1994
35,Acadian redfish Gulf of Maine / Georges Bank,0,1995
36,Acadian redfish Gulf of Maine / Georges Bank,0,1996
37,Acadian redfish Gulf of Maine / Georges Bank,0,1997
38,Acadian redfish Gulf of Maine / Georges Bank,0,1998
39,Acadian redfish Gulf of Maine / Georges Bank,0,1999
40,Acadian redfish Gulf of Maine / Georges Bank,0,2000
41,Acadian redfish Gulf of Maine / Georges Bank,0,2001
42,Acadian redfish Gulf of Maine / Georges Bank,0,2002
43,Acadian redfish Gulf of Maine / Georges Bank,0,2003
44,Acadian redfish Gulf of Maine / Georges Bank,0,2004
45,Acadian redfish Gulf of Maine / Georges Bank,0,2005
46,Acadian redfish Gulf of Maine / Georges Bank,0,2006
47,Acadian redfish Gulf of Maine / Georges Bank,0,2007
48,Acadian redfish Gulf of Maine / Georges Bank,0,2008
49,Acadian redfish Gulf of Maine / Georges Bank,0,2009
50,Acadian redfish Gulf of Maine / Georges Bank,0,2010
51,Acadian redfish Gulf of Maine / Georges Bank,0,2011
52,Acadian redfish Gulf of Maine / Georges Bank,0,2012
